Replay Review #,Definitive Angle #1,Definitive Angle #2,Definitive Angle #3
1,,,
2,Tight CF SSMO,,
3,,,
4,,,
5,Mid 1B DTL SSMO,,
6,Tight CF SSMO,,
7,,,
8,Mid 1B Bag SSMO,,
9,,,
10,,,
11,Low 3B Infield SSMO,,
12,High 1B Edge SSMO,Mosaic (RF Alley In / High Home Zoom),
13,Tight CF SSMO,,
14,Mid 1B Infield SSMO,,
15,,,
16,Mid 3B DTL SSMO,,
17,Mosaic (Mid 1B Infield SSMO / Low 1B Infield SSMO),,
18,,,
19,,,
20,,,
21,Mid 3B Bag ,,
22,LF Pole ,,
23,,,
24,High LF ,,
25,,,
26,Tight CF SSMO,,
27,Mid 1B Bag SSMO,Tight CF SSMO,
28,Mid 3B Infield SSMO,,
29,Low 3B Infield SSMO,,
30,LF Alley SSMO,,
31,,,
32,Low 1B Infield SSMO,,
33,High 1B Infield SSMO,,
34,Low 3B Bag SSMO,,
35,LF Alley SSMO Zoom,,
36,Mid Home Zoom,,
37,Mid 3B Bag ,,
38,High Home ,,
39,Low 3B Infield SSMO,,
40,Tight CF SSMO,,
41,,,
42,Low 3B Infield SSMO,,
43,Mid 3B DTL SSMO,,
44,LF Alley SSMO,,
45,,,
46,High 1B Edge,,
47,,,
48,Low 3B Infield SSMO,,
49,,,
50,Mid 3B Bag ,,
51,Mid 1B Bag SSMO,,
52,Low 3B Infield SSMO,,
53,High LF ,,
54,,,
55,,,
56,,,
57,Mosaic (Tight CF / Low 1B Bag ),,
58,,,
59,Mid 1B Edge ,,
60,Mid 1B Infield SSMO,,
61,Tight CF SSMO,,
62,LF Alley SSMO,,
63,,,
64,Tight CF SSMO,,
65,Low 1B Bag SSMO,,
66,,,
67,Mosaic (Mid 1B Infield SSMO / Low 3B Infield SSMO),,
68,,,
69,LF Alley SSMO,,
70,Overhead High Home ,LF Alley SSMO,Tight CF 
71,Low 3B Bag SSMO,,
72,Low 3B Infield SSMO,,
73,Tight CF SSMO,,
74,Mid 1B Bag SSMO,,
75,Mid 1B Infield SSMO,,
76,Mid 1B DTL SSMO,,
77,Mid 1B Infield SSMO,,
78,CF ,,
79,Mid 1B Infield SSMO,,
80,Tight CF SSMO,,
81,,,
82,Mid 1B Bag SSMO,,
83,Mid 1B Infield SSMO,,
84,Mid 1B Infield SSMO,,
85,Mosaic (Mid 1B Infield SSMO / Tight CF SSMO),,
86,Mid 1B Infield SSMO,,
87,Mid 1B Infield SSMO,,
88,Mid 1B Bag SSMO,,
89,Mid 1B Bag ,,
90,Low 1B Infield SSMO,,
91,,,
92,Tight CF SSMO,,
93,,,
94,Mid 1B Infield SSMO,,
95,Tight CF ,,
96,Tight CF SSMO,,
97,Mid 1B DTL SSMO,,
98,,,
99,Mid 1B DTL SSMO,,
100,Low 3B Infield SSMO,,
101,Mid 1B Infield SSMO Zoom,,
102,,,
103,Mid 1B Infield SSMO,,
