Replay Review #,Replay Official Ruling,Ruling After Review,Review In Favor Of,Runs Scored Post Review,Outs Post Review,Runners Post Review
1,STANDS,Safe,CHC,0,1,R1
2,OVERTURNED,Out,CHC,0,3,N/A
3,RULES CHECK,N/A,N/A,0,0,Bases Empty
4,STANDS,Out,PIT,0,3,N/A
5,CONFIRMED,Out,HOU,0,1,Bases Empty
6,OVERTURNED,Catcher's Interference,SD,0,0,R1
7,STANDS,No Violation,SD,0,3,N/A
8,CONFIRMED,Out,SD,0,3,N/A
9,STANDS,Safe,OAK,0,1,"R2, R3"
10,STANDS,Out,MIA,0,1,Bases Empty
11,OVERTURNED,Out,CWS,0,2,Bases Empty
12,OVERTURNED,Out,AZ,0,1,Bases Empty
13,OVERTURNED,Safe,CLE,0,1,"R2, R3"
14,OVERTURNED,Safe,AZ,0,0,R1
15,STANDS,Safe,CWS,0,1,R1
16,CONFIRMED,Safe,HOU,1,2,R2
17,OVERTURNED,Out,TOR,0,2,R1
18,STANDS,Out,BOS,1,2,Bases Empty
19,STANDS,Out,MIA,0,1,Bases Empty
20,STANDS,Hit by Pitch,BOS,0,2,R1
21,CONFIRMED,Out,MIA,0,3,N/A
22,CONFIRMED,Run Does Not Score,MIA,0,3,N/A
23,STANDS,No Home Run,TEX,0,2,R1
24,CONFIRMED,Home Run,BOS,2,2,Bases Empty
25,STANDS,Out,SF,0,3,N/A
26,CONFIRMED,Out,SF,0,3,N/A
27,OVERTURNED,Out,COL,0,2,R1
28,OVERTURNED,"No Home Run, Spectator Interference",LAD,0,0,R2
29,OVERTURNED,Out,AZ,0,3,N/A
30,OVERTURNED,Out,KC,0,3,N/A
31,STANDS,Hit by Pitch,HOU,0,0,R1
32,OVERTURNED,Safe,SF,0,0,R1
33,CONFIRMED,Catch,PIT,0,1,Bases Empty
34,OVERTURNED,Hit by Pitch,SF,0,2,R1
35,OVERTURNED,Out,TOR,0,3,N/A
36,OVERTURNED,No Hit by Pitch,OAK,0,1,R3
37,OVERTURNED,Fair Ball,LAA,0,2,R1
38,CONFIRMED,No Violation,LAD,0,1,R1
39,CONFIRMED,Out,LAD,0,1,R1
40,OVERTURNED,No Hit by Pitch,SF,0,1,Bases Empty
41,RECORD KEEPING,1-1 Count,N/A,0,1,Bases Empty
42,OVERTURNED,Safe,DET,0,2,R1
43,CONFIRMED,Out,DET,1,1,R1
44,CONFIRMED,Home Run,TOR,1,0,Bases Empty
45,STANDS,No Home Run,COL,0,2,"R1, R2, R3"
46,CONFIRMED,Safe,CLE,0,0,R2
47,STANDS,Safe,AZ,2,2,R2
48,CONFIRMED,No Home Run,DET,0,3,N/A
49,STANDS,Out,KC,1,2,R1
50,OVERTURNED,Safe,WSH,0,0,R2
51,OVERTURNED,Safe,TB,0,0,R1
52,OVERTURNED,Out,DET,0,1,Bases Empty
53,CONFIRMED,No Home Run,PIT,0,2,"R1, R3"
54,STANDS,Out,BAL,0,1,Bases Empty
55,STANDS,Hit by Pitch,PIT,0,1,"R1, R2"
56,STANDS,Out,SF,0,1,Bases Empty
57,OVERTURNED,Out,OAK,0,3,N/A
58,STANDS,Safe,CWS,0,2,"R2, R3"
59,CONFIRMED,Home Run,KC,1,0,Bases Empty
60,OVERTURNED,Safe,WSH,0,0,R1
61,OVERTURNED,Hit by Pitch,LAD,0,1,"R1, R2, R3"
62,OVERTURNED,Safe,PHI,0,2,"R1, R3"
63,STANDS,Safe,HOU,0,1,R2
64,OVERTURNED,Safe,PIT,0,0,R1
65,OVERTURNED,Out,STL,0,2,Bases Empty
66,STANDS,Safe,LAA,1,1,"R1, R2"
67,OVERTURNED,Out,AZ,0,3,N/A
68,STANDS,No Home Run,SF,0,0,R2
69,OVERTURNED,Out,CIN,0,3,N/A
70,OVERTURNED,No Hit by Pitch,PHI,0,2,R1
71,OVERTURNED,Out,CLE,0,2,Bases Empty
72,OVERTURNED,Out,LAD,0,3,N/A
73,CONFIRMED,No Catch,WSH,0,0,R2
74,CONFIRMED,Out,AZ,0,3,N/A
75,OVERTURNED,Safe,OAK,0,2,R3
76,OVERTURNED,Out,PHI,0,2,Bases Empty
77,OVERTURNED,Out,BOS,0,1,Bases Empty
78,CONFIRMED,Safe,BOS,0,1,R1
79,OVERTURNED,Out,CWS,0,2,"R1, R3"
80,OVERTURNED,Out,BAL,0,3,N/A
81,STANDS,Out,OAK,0,3,N/A
82,CONFIRMED,No Home Run,ATL,1,0,R3
83,CONFIRMED,Out,BOS,0,2,R1
84,OVERTURNED,Safe,TB,0,2,R1
85,CONFIRMED,Out,BOS,0,3,N/A
86,CONFIRMED,No Violation,HOU,0,2,R1
87,CONFIRMED,Safe,HOU,0,2,R1
88,CONFIRMED,No Violation,ATL,0,1,"R1, R2, R3"
89,CONFIRMED,Safe,ATL,0,1,"R1, R2, R3"
90,CONFIRMED,Out,TOR,0,3,N/A
91,STANDS,Safe,KC,0,1,R2
92,CONFIRMED,Hit by Pitch,SD,0,1,R1
93,STANDS,Out,CWS,0,3,N/A
94,OVERTURNED,Out,WSH,0,2,Bases Empty
95,CONFIRMED,Out,SEA,0,3,N/A
96,OVERTURNED,Catcher's Interference,LAD,0,0,"R1, R2, R3"
97,OVERTURNED,No Catch,CLE,1,1,"R1, R3"
98,STANDS,Safe,NYM,0,1,R2
99,OVERTURNED,Safe,HOU,0,2,"R1, R3"
100,CONFIRMED,Out,CHC,0,3,N/A
101,OVERTURNED,Safe,MIL,0,0,R1
102,STANDS,Out,AZ,0,2,R3
103,CONFIRMED,Home Run,TB,3,1,Bases Empty
