Replay Review #,Headset Umpire 1,Headset Umpire 2,Time on 2 Minute Clock,Review 2 Min+,Time from Call to Challenge,Time from Challenge to Ruling,Time on Headset,Length of Initial Announcement,Length of Post Review Announcement,Time from Call to Next Pitch,Time from FTC EoP to Challenge,Time left on FTC Clock,Multiple Review,Multiple Trips to Headset
1,"Kulpa, Ron","Blaser, Cory",0:23,No,0:16,1:26,0:51,0:02,0:06,2:13,0:11,0:04,No,No
2,"Kulpa, Ron","Blaser, Cory",0:02,No,0:10,0:52,0:22,0:02,0:04,N/A,0:02,0:13,No,No
3,"Nelson, Jeff","Bucknor, CB",0:17,No,1:22,1:29,0:56,N/A,N/A,3:17,N/A,N/A,No,No
4,"Wegner, Mark","Scheurwater, Stu",0:37,No,0:14,1:30,0:58,0:03,0:06,N/A,0:08,0:07,No,No
5,"Miller, Bill","Ortiz, Roberto",0:08,No,0:18,0:54,0:28,0:05,0:06,1:41,0:10,0:05,No,No
6,"Conroy, Chris","O'Nora, Brian",0:01,No,0:11,1:09,0:22,0:03,0:06,1:47,0:00,0:15,No,No
7,"Conroy, Chris","O'Nora, Brian",1:55,No,0:23,3:39,2:44,0:06,0:12,N/A,0:07,0:08,Yes,No
8,"Conroy, Chris","O'Nora, Brian",0:05,No,N/A,0:10,0:07,0:06,0:12,N/A,N/A,N/A,Yes,No
9,"Johnson, Adrian","Wolcott, Quinn",0:58,No,0:11,2:17,1:32,0:03,0:06,2:50,0:01,0:14,No,No
10,"Vanover, Larry","Rackley, David",1:39,No,0:11,2:54,1:59,0:03,0:06,3:30,0:07,0:08,No,No
11,"Miller, Bill","Ortiz, Roberto",0:21,No,0:18,1:13,0:56,N/A,0:07,1:56,0:12,0:03,No,No
12,"Hudson, Marvin","Blakney, Ryan",2:05,Yes,0:20,3:04,2:23,0:03,0:07,3:53,0:12,0:03,No,No
13,"Carlson, Mark","Miller, Brennan",0:07,No,0:10,1:08,0:41,0:03,0:06,1:50,0:05,0:10,No,No
14,"Hudson, Marvin","Tumpane, John",0:21,No,0:11,1:42,0:53,0:03,0:06,2:25,0:05,0:10,No,No
15,"Miller, Bill","Ortiz, Roberto",1:11,No,0:15,2:02,1:39,0:03,0:08,2:49,0:08,0:07,No,No
16,"Miller, Bill","Drake, Rob",0:24,No,0:18,1:35,0:55,0:03,0:07,2:23,0:10,0:05,No,No
17,"Iassogna, Dan","Barry, Scott",0:34,No,0:15,1:35,1:00,0:03,0:07,2:16,0:09,0:06,No,No
18,"Barksdale, Lance","Little, Will",0:48,No,0:23,1:56,1:16,0:02,0:06,2:50,0:13,0:02,No,No
19,"Vanover, Larry","Moscoso, Edwin",0:19,No,0:16,1:34,0:50,0:04,0:06,2:22,0:11,0:04,No,No
20,"Barksdale, Lance","Little, Will",0:29,No,0:29,1:27,0:51,0:04,0:06,N/A,0:00,0:15,No,No
21,"Vanover, Larry","Guccione, Chris",0:01,No,0:51,1:03,0:28,0:05,0:09,N/A,0:12,0:03,Yes,No
22,"Vanover, Larry","Guccione, Chris",0:01,No,N/A,1:03,0:28,0:05,0:09,N/A,N/A,N/A,Yes,No
23,"Nelson, Jeff","Bucknor, CB",0:40,No,0:12,1:34,1:01,0:06,0:03,2:06,0:05,0:10,No,No
24,"Barksdale, Lance","Little, Will",0:06,No,0:09,1:01,0:22,0:03,0:05,N/A,0:07,0:08,No,No
25,"Diaz, Laz","Estabrook, Mike",0:28,No,0:07,1:32,0:58,0:05,0:07,N/A,0:07,0:08,Yes,No
26,"Diaz, Laz","Estabrook, Mike",0:04,No,N/A,0:13,0:08,0:05,0:07,N/A,N/A,N/A,Yes,No
27,"Conroy, Chris","O'Nora, Brian",0:50,No,0:17,1:52,1:24,0:02,0:04,2:39,0:11,0:04,No,No
28,"Hudson, Marvin","Tumpane, John",1:00,No,0:07,3:06,1:56,0:02,0:07,3:40,0:00,0:15,No,No
29,"Hudson, Marvin","Wendelstedt, Hunter",0:01,No,0:13,1:17,0:22,0:03,0:05,N/A,0:08,0:07,No,No
30,"Tichenor, Todd","Randazzo, Tony",0:01,No,0:12,0:40,0:17,0:03,0:02,N/A,0:07,0:08,No,No
31,"Miller, Bill","Ortiz, Roberto",0:28,No,0:23,1:27,0:58,0:04,0:06,2:31,0:12,0:03,No,No
32,"Diaz, Laz","Estabrook, Mike",0:08,No,0:10,0:59,0:29,0:05,0:06,1:32,0:06,0:09,No,No
33,"Wegner, Mark","Dreckman, Bruce",0:12,No,0:19,1:13,0:34,0:03,0:07,1:56,0:09,0:06,No,No
34,"Diaz, Laz","Bacchus, Erich",0:04,No,0:07,1:01,0:28,0:03,N/A,1:33,0:01,0:14,No,No
35,"Iassogna, Dan","Beck, Adam",0:44,No,0:12,1:24,1:02,0:04,0:05,N/A,0:04,0:11,No,No
36,"Johnson, Adrian","Wolcott, Quinn",0:36,No,0:17,2:08,1:29,0:02,0:07,2:59,0:13,0:02,No,No
37,"Johnson, Adrian","Valentine, Junior",0:13,No,0:35,1:38,1:16,0:03,0:06,N/A,0:03,0:12,No,No
38,"Hudson, Marvin","Blakney, Ryan",0:01,No,0:16,0:02,0:02,0:05,0:07,3:01,0:01,0:14,Yes,No
39,"Hudson, Marvin","Blakney, Ryan",0:54,No,N/A,2:11,1:29,0:05,0:07,N/A,N/A,N/A,Yes,No
40,"Hoye, James","Hernandez, Angel",0:01,No,0:18,0:03,0:02,0:03,0:07,N/A,0:11,0:04,Yes,No
41,"Hoye, James","Hernandez, Angel",0:29,No,N/A,1:25,0:51,N/A,N/A,N/A,N/A,N/A,Yes,No
42,"Nelson, Jeff","May, Ben",0:41,No,0:13,1:37,1:13,0:03,0:05,2:20,0:06,0:09,No,No
43,"Nelson, Jeff","Bucknor, CB",0:03,No,0:17,1:39,0:38,0:03,0:07,2:08,0:11,0:04,No,No
44,"Layne, Jerry","Hamari, Adam",0:06,No,0:18,1:07,0:25,0:03,0:03,1:50,0:08,0:07,No,No
45,"Carlson, Mark","Baker, Jordan",0:30,No,0:13,1:36,1:04,0:02,0:03,2:12,0:13,0:02,No,No
46,"Marquez, Alfonso","Barrett, Lance",0:48,No,0:13,1:39,1:12,0:02,0:04,2:18,0:08,0:07,No,No
47,"Kulpa, Ron","Blaser, Cory",0:37,No,0:21,1:37,0:59,0:02,0:06,2:35,0:12,0:03,No,No
48,"Nelson, Jeff","Segal, Chris",0:01,No,0:35,0:53,0:16,0:07,0:05,N/A,0:05,0:10,No,No
49,"Layne, Jerry","Gonzalez, Manny",1:03,No,0:16,2:16,1:29,0:04,0:07,2:55,0:13,0:02,No,No
50,"Vanover, Larry","Guccione, Chris",0:12,No,0:21,1:15,0:35,0:03,0:05,2:07,0:12,0:03,No,No
51,"Vanover, Larry","Moscoso, Edwin",0:16,No,0:11,1:12,0:41,0:03,0:05,1:49,0:05,0:10,No,No
52,"Nelson, Jeff","Segal, Chris",0:12,No,0:13,1:08,0:39,0:03,0:07,1:48,0:05,0:10,No,No
53,"Iassogna, Dan","Vondrak, Clint",0:01,No,0:41,0:57,0:19,0:08,0:07,2:07,0:04,0:11,No,No
54,"Hudson, Marvin","Blakney, Ryan",0:30,No,0:12,1:36,1:02,0:03,0:05,2:20,0:08,0:07,No,No
55,"Iassogna, Dan","Barry, Scott",0:31,No,0:03,1:35,1:00,0:03,0:07,2:06,0:01,0:14,No,No
56,"Hoye, James","Libka, John",0:38,No,0:13,1:30,1:05,0:06,0:06,2:10,0:08,0:07,No,No
57,"Márquez, Alfonso","Eddings, Doug",1:03,No,0:09,1:41,1:19,0:02,0:06,N/A,0:05,0:10,No,No
58,"Hoye, James","Reyburn, D.J.",0:59,No,0:14,2:05,1:42,0:03,0:05,2:41,0:09,0:06,No,No
59,"Layne, Jerry","Carapazza, Vic",0:13,No,0:34,0:43,0:28,0:05,0:03,1:46,0:02,0:13,No,No
60,"Kulpa, Ron","Torres, Carlos",0:01,No,0:13,0:43,0:14,0:03,0:05,1:25,0:04,0:11,No,No
61,"Márquez, Alfonso","De Jesus, Ramon",0:01,No,0:40,0:50,0:26,0:04,0:07,2:10,0:05,0:10,No,No
62,"Porter, Alan","Wolf, Jim",0:12,No,0:14,1:05,0:29,0:04,0:06,2:18,0:07,0:08,No,No
63,"Carlson, Mark","Baker, Jordan",1:33,No,0:19,2:21,1:54,0:03,0:05,3:13,0:11,0:04,No,No
64,"Diaz, Laz","Estabrook, Mike",0:23,No,0:13,1:25,0:42,0:02,0:05,2:09,0:06,0:09,No,No
65,"Layne, Jerry","Carapazza, Vic",0:02,No,0:16,0:51,0:22,0:03,0:09,1:57,0:10,0:05,No,No
